Area,BHK,Bathroom,Furnishing,Price,Locality,City
1850,3,3,Under Construction,32300000,Alwarpet,Chennai
2380,3,3,Ready to move,32100000,Adyar,Chennai
3252,4,3,Under Construction,32100000,Perungudi,Chennai
2130,3,3,Ready to move,32000000,Anna Nagar,Chennai
3210,4,3,Under Construction,31600000,Perungudi,Chennai
1500,3,3,Semi-Furnished,31500000,Lajpat Nagar 3,Delhi
1500,3,3,Semi-Furnished,31500000,Lajpat Nagar 3,Delhi
2000,3,3,Unfurnished,31000000,"DDA Flats Vasant Kunj, Vasant Kunj",Delhi
1675,3,3,Semi-Furnished,31000000,Lajpat Nagar 2,Delhi
1700,3,2,Semi-Furnished,31000000,Vasant Kunj,Delhi
3096,4,3,Under Construction,30600000,Perungudi,Chennai
2025,4,3,Furnished,30500000,Saket,Delhi
1512,2,2,Unfurnished,30000000,"Godrej South Estate, Okhla",Delhi
1600,3,3,Semi-Furnished,30000000,Greater Kailash 1,Delhi
1600,3,3,Semi-Furnished,30000000,Greater Kailash 1,Delhi
1650,3,3,Semi-Furnished,30000000,Lajpat Nagar,Delhi
1450,3,3,Semi-Furnished,30000000,Lajpat Nagar 3,Delhi
1600,3,3,Unfurnished,30000000,Lajpat Nagar 3,Delhi
1450,3,3,Semi-Furnished,30000000,Lajpat Nagar 3,Delhi
1710,3,3,Semi-Furnished,30000000,Lajpat Nagar 3,Delhi
1600,3,3,Unfurnished,30000000,Lajpat Nagar 3,Delhi
2200,3,3,Unfurnished,30000000,Lajpat Nagar 3,Delhi
1700,3,3,Semi-Furnished,30000000,Saket,Delhi
1500,3,3,Semi-Furnished,30000000,Saket,Delhi
1350,3,3,Semi-Furnished,30000000,"Shivalik, Malviya Nagar",Delhi
1400,3,3,Semi-Furnished,30000000,"Shivalik, Malviya Nagar",Delhi
1700,3,3,Unfurnished,30000000,"Shivalik, Malviya Nagar",Delhi
2907,4,4,Semi-Furnished,30000000,"Sukhdev Vihar, Okhla",Delhi
1500,5,3,Furnished,30000000,"Yamuna Vihar, Shahdara",Delhi
1520,3,2,Under Construction,29500000,T Nagar,Chennai
1600,3,3,Unfurnished,29500000,Lajpat Nagar 3,Delhi
1700,4,3,Semi-Furnished,29500000,Saket,Delhi
1250,2,3,Semi-Furnished,29000000,"Common Wealth Games Village, Common",Delhi
1620,3,3,Semi-Furnished,29000000,"Punjabi Bagh Extension, Punjabi Bag",Delhi
1700,3,3,Semi-Furnished,29000000,"RWA Flats, Saket",Delhi
1750,4,4,Unfurnished,29000000,Vasant Kunj Sector C,Delhi
1750,4,4,Unfurnished,29000000,Vasant Kunj Sector C,Delhi
1400,2,3,Unfurnished,28600000,"Common Wealth Games Village, Common",Delhi
1800,3,3,Unfurnished,28500000,Lajpat Nagar 2,Delhi
1500,3,2,Semi-Furnished,28500000,Saket,Delhi
1700,3,3,Unfurnished,28000000,Lajpat Nagar 3,Delhi
990,3,3,Furnished,28000000,"Press Enclave Society, Saket",Delhi
195,3,3,Semi-Furnished,28000000,"Punjabi Bagh Extension, Punjabi Bag",Delhi
1571,3,2,Under Construction,27900000,Kotturpuram,Chennai
1652,3,2,Ready to move,27800000,Adyar,Chennai
1455,2,2,Semi-Furnished,27500000,Commonwealth Games Village 2010,Delhi
1700,3,3,Semi-Furnished,27500000,Lajpat Nagar 3,Delhi
14220,3,3,Semi-Furnished,27500000,Paschim Vihar Block B4,Delhi
1800,3,3,Semi-Furnished,27500000,Punjabi Bagh,Delhi
1800,3,3,Furnished,27500000,Punjabi Bagh East,Delhi
2000,4,4,Semi-Furnished,27500000,"Sukhdev Vihar, Okhla",Delhi
1912,3,3,Semi-Furnished,27500000,"The Amaryllis, Karol Bagh",Delhi
1627,3,2,Ready to move,27400000,Adyar,Chennai
1800,3,3,Semi-Furnished,27000000,"Patel Nagar East, Patel Nagar",Delhi
1500,3,3,Semi-Furnished,27000000,Saket,Delhi
1540,3,2,Under Construction,26600000,Anna Nagar,Chennai
1500,3,3,Unfurnished,26500000,Alaknanda,Delhi
1500,3,3,Unfurnished,26500000,Alaknanda,Delhi
1240,3,3,Unfurnished,26500000,"Kailash Colony, Greater Kailash",Delhi
1800,3,2,Unfurnished,26500000,Paschim Vihar Block B4,Delhi
1530,3,3,Semi-Furnished,26500000,"Patel Nagar East, Patel Nagar",Delhi
2970,7,4,Furnished,26500000,"Yamuna Vihar, Shahdara",Delhi
1500,3,3,Under Construction,26400000,Anna Nagar,Chennai
1548,3,2,Ready to move,26100000,Adyar,Chennai
2000,3,3,Under Construction,26000000,Guindy,Chennai
2000,3,3,Under Construction,26000000,Guindy,Chennai
1440,3,3,Semi-Furnished,26000000,"Kailash Colony, Greater Kailash",Delhi
1350,3,3,Unfurnished,26000000,"Kailash Colony, Greater Kailash",Delhi
1150,3,3,Semi-Furnished,26000000,"Kailash Colony, Greater Kailash",Delhi
1600,3,3,Semi-Furnished,26000000,Kalkaji,Delhi
1710,3,3,Semi-Furnished,26000000,Lajpat Nagar 2,Delhi
1500,3,3,Semi-Furnished,26000000,Lajpat Nagar 2,Delhi
1710,3,3,Semi-Furnished,26000000,Lajpat Nagar 2,Delhi
1500,3,3,Semi-Furnished,26000000,Lajpat Nagar 2,Delhi
1500,3,3,Semi-Furnished,26000000,Lajpat Nagar 2,Delhi
1350,3,3,Semi-Furnished,26000000,Lajpat Nagar 2,Delhi
1600,3,3,Unfurnished,26000000,Lajpat Nagar 3,Delhi
2340,4,4,Semi-Furnished,26000000,Punjabi Bagh East,Delhi
1400,3,2,Semi-Furnished,26000000,"Shivalik Apartments, Alaknanda",Delhi
1400,3,2,Semi-Furnished,26000000,"Shivalik Apartments, Alaknanda",Delhi
1531,2,2,Unfurnished,25900000,"Godrej South Estate, Okhla",Delhi
1150,3,3,Semi-Furnished,25500000,"Kailash Colony, Greater Kailash",Delhi
1575,3,3,Semi-Furnished,25500000,Lajpat Nagar 2,Delhi
2100,4,3,Furnished,25500000,Saket,Delhi
1775,3,3,Semi-Furnished,25500000,"The Amaryllis, Karol Bagh",Delhi
1775,3,3,Semi-Furnished,25500000,"The Amaryllis, Karol Bagh",Delhi
1775,3,3,Semi-Furnished,25500000,"The Amaryllis, Karol Bagh",Delhi
2550,3,2,Under Construction,25100000,Perungudi,Chennai
1590,3,2,Unfurnished,25000000,"DLF Capital Greens, New Moti Nagar,",Delhi
1260,3,3,Semi-Furnished,25000000,"DLF Capital Greens, New Moti Nagar,",Delhi
1600,3,2,Semi-Furnished,25000000,"Ganga Apartment Sector D Pocket 6, ",Delhi
1200,3,3,Unfurnished,25000000,"Kailash Colony, Greater Kailash",Delhi
1350,3,4,Unfurnished,25000000,Lajpat Nagar,Delhi
1350,3,3,Semi-Furnished,25000000,Lajpat Nagar 2,Delhi
990,3,2,Unfurnished,25000000,"New Moti Nagar, Kirti Nagar",Delhi
17010,3,3,Semi-Furnished,25000000,Punjabi Bagh West,Delhi
2100,3,4,Semi-Furnished,25000000,Saket,Delhi
2000,4,3,Semi-Furnished,25000000,Saket,Delhi
1135,3,3,Furnished,25000000,"The Amaryllis, Karol Bagh",Delhi
1135,3,3,Furnished,25000000,"The Amaryllis, Karol Bagh",Delhi
1135,3,3,Furnished,25000000,"The Amaryllis, Karol Bagh",Delhi
1400,3,2,Semi-Furnished,25000000,Vasant Kunj,Delhi
2430,4,3,Furnished,25000000,"Yamuna Vihar, Shahdara",Delhi
976,2,2,Furnished,24900000,"Godrej South Estate, Okhla",Delhi
976,2,2,Furnished,24900000,"Godrej South Estate, Okhla",Delhi
945,2,2,Semi-Furnished,24900000,"Godrej South Estate, Okhla Phase 1",Delhi
976,2,2,Unfurnished,24900000,"Godrej South Estate, Okhla Phase 1",Delhi
979.5149,2,2,Unfurnished,24800000,"Godrej South Estate, Okhla Phase 1",Delhi
1710,3,3,Semi-Furnished,24800000,Lajpat Nagar 3,Delhi
1500,2,2,Furnished,24700000,"Godrej South Estate, Okhla",Delhi
1401,3,3,Ready to move,24500000,T Nagar,Chennai
2300,4,4,Semi-Furnished,24500000,"J R Designers Floors, Rohini Sector",Delhi
1400,3,3,Unfurnished,24500000,Lajpat Nagar 3,Delhi
1800,3,3,Unfurnished,24500000,Lajpat Nagar 3,Delhi
1440,3,3,Unfurnished,24500000,"Punjabi Bagh Extension, Punjabi Bag",Delhi
1135,3,3,Furnished,24500000,"The Amaryllis, Karol Bagh",Delhi
1574,3,2,Ready to move,24400000,T Nagar,Chennai
1565,3,2,Ready to move,24200000,Anna Nagar,Chennai
1500,3,3,Ready to move,24000000,Anna Nagar,Chennai
1500,3,2,Under Construction,24000000,Anna Nagar,Chennai
1500,3,2,Under Construction,24000000,Anna Nagar,Chennai
1500,3,2,Under Construction,24000000,Anna Nagar,Chennai
1500,3,2,Under Construction,24000000,Anna Nagar,Chennai
2429,3,2,Under Construction,24000000,Perungudi,Chennai
1484,3,3,Ready to move,24000000,T Nagar,Chennai
1800,3,3,Unfurnished,24000000,Patel Nagar West,Delhi
900,3,2,Semi-Furnished,24000000,"Press Enclave Society, Saket",Delhi
1100,2,2,Semi-Furnished,24000000,Vasant Kunj Sector C,Delhi
1150,3,3,Semi-Furnished,24000000,"Vikram Vihar, Lajpat Nagar",Delhi
2398,3,2,Under Construction,23600000,Perungudi,Chennai
1450,3,2,Semi-Furnished,23500000,"DDA Flats Vasant Kunj, Vasant Kunj ",Delhi
2200,4,3,Semi-Furnished,23500000,"DDA Flats Vasant Kunj, Vasant Kunj ",Delhi
1350,3,3,Unfurnished,23500000,Punjabi Bagh East,Delhi
1291.668,3,2,Unfurnished,23500000,Sheikh Sarai Phase 1,Delhi
1313,2,1,Under Construction,23300000,Kotturpuram,Chennai
1755,3,3,Under Construction,23000000,Adyar,Chennai
1590,3,3,Ready to move,23000000,Anna Nagar,Chennai
1440,3,3,Ready to move,23000000,Royapettah,Chennai
2200,4,4,Semi-Furnished,23000000,"J R Designers Floors, Rohini Sector",Delhi
1457,3,3,Unfurnished,23000000,"New Moti Nagar, Kirti Nagar",Delhi
1700,3,3,Semi-Furnished,23000000,Punjabi Bagh,Delhi
2288,3,2,Under Construction,22600000,Perungudi,Chennai
1800,3,3,Semi-Furnished,22500000,"Gangotri Enclave, Alaknanda",Delhi
1800,3,3,Semi-Furnished,22500000,"Gangotri Enclave, Alaknanda",Delhi
1600,3,3,Unfurnished,22500000,"Kailash Colony, Greater Kailash",Delhi
1100,2,3,Semi-Furnished,22500000,Lajpat Nagar 2,Delhi
1600,3,3,Semi-Furnished,22500000,Safdarjung Enclave,Delhi
1300,3,3,Semi-Furnished,22500000,Saket,Delhi
1650,3,3,Semi-Furnished,22500000,Sheikh Sarai Phase 1,Delhi
1500,3,3,Semi-Furnished,22500000,Sheikh Sarai Phase 1,Delhi
3500,4,4,Semi-Furnished,22500000,Vasant Kunj,Delhi
1080,3,2,Semi-Furnished,22500000,"Vikram Vihar, Lajpat Nagar",Delhi
1100,3,3,Unfurnished,22500000,"Vikram Vihar, Lajpat Nagar",Delhi
630,3,2,Furnished,22500000,"Yamuna Vihar, Shahdara",Delhi
1450,3,2,Under Construction,22400000,Anna Nagar,Chennai
2256,3,2,Under Construction,22300000,Perungudi,Chennai
1250,3,2,Under Construction,22100000,Anna Nagar,Chennai
1245,2,1,Under Construction,22100000,Kotturpuram,Chennai
1500,3,2,Ready to move,22000000,Anna Nagar,Chennai
1350,3,3,Semi-Furnished,22000000,Lajpat Nagar 2,Delhi
1818,3,3,Unfurnished,22000000,Paschim Vihar,Delhi
1710,3,3,Unfurnished,22000000,"Pushkar Enclave, Paschim Vihar",Delhi
2170,4,4,Unfurnished,22000000,Rohini Sector 23,Delhi
1017,3,3,Semi-Furnished,22000000,"The Amaryllis, Karol Bagh",Delhi
1000,3,3,Semi-Furnished,22000000,"Vikram Vihar, Lajpat Nagar",Delhi
1143,3,3,Unfurnished,22000000,"Vikram Vihar, Lajpat Nagar",Delhi
1512,2,2,Furnished,22000000,"Yamuna Vihar, Shahdara",Delhi
1233,2,1,Under Construction,21900000,Kotturpuram,Chennai
1310,3,3,Under Construction,21900000,T Nagar,Chennai
1300,3,3,Semi-Furnished,21900000,"DDA Flats Sector E Pocket 1, Vasant",Delhi
1500,3,2,Semi-Furnished,21500000,"RWA Flats, Saket",Delhi
1800,4,2,Semi-Furnished,21500000,"Tara Apartment, Alaknanda",Delhi
1800,4,2,Semi-Furnished,21500000,"Tara Apartment, Alaknanda",Delhi
1800,3,3,Unfurnished,21100000,Patel Nagar West,Delhi
1381,3,3,Under Construction,21000000,Adyar,Chennai
1800,2,2,Furnished,21000000,Kalkaji,Delhi
1300,3,3,Semi-Furnished,21000000,Kalkaji,Delhi
1260,3,3,Semi-Furnished,21000000,Lajpat Nagar 3,Delhi
1260,3,3,Semi-Furnished,21000000,Lajpat Nagar 3,Delhi
1350,3,3,Unfurnished,21000000,Lajpat Nagar 3,Delhi
1350,3,3,Semi-Furnished,21000000,Lajpat Nagar 3,Delhi
1350,3,3,Semi-Furnished,21000000,"Narmada Apartment, Alaknanda",Delhi
1350,3,3,Semi-Furnished,21000000,"Narmada Apartment, Alaknanda",Delhi
1500,3,3,Semi-Furnished,21000000,"Project Gangotri Enclave, Alaknanda",Delhi
1500,3,3,Semi-Furnished,21000000,"Project Gangotri Enclave, Alaknanda",Delhi
1600,3,3,Semi-Furnished,21000000,Sheikh Sarai Phase 1,Delhi
1600,3,3,Semi-Furnished,21000000,Sheikh Sarai Phase 1,Delhi
1200,3,2,Semi-Furnished,20900000,"The Amaryllis, Karol Bagh",Delhi
