price,area,status,bhk,location,bath,City
8309000,1222,Under Construction,2,East Tambaram,1,Chennai
6787000,1305,Under Construction,3,Gerugambakkam,2,Chennai
7620000,1480,Under Construction,3,Gerugambakkam,2,Chennai
5307000,1005,Under Construction,2,Gerugambakkam,1,Chennai
5664000,1069,Under Construction,2,Gerugambakkam,1,Chennai
4500000,950,Under Construction,2,Gerugambakkam,2,Chennai
3700000,730,Ready to move,2,Gerugambakkam,2,Chennai
5858000,1100,Ready to move,2,Gerugambakkam,3,Chennai
5422000,1015,Ready to move,2,Gerugambakkam,2,Chennai
4419000,878,Ready to move,2,Gerugambakkam,2,Chennai
3973000,790,Ready to move,2,Gerugambakkam,2,Chennai
3780000,790,Ready to move,2,Gerugambakkam,2,Chennai
8525000,1270,Ready to move,3,Gowrivakkam,2,Chennai
3700000,574,Ready to move,1,Gowrivakkam,1,Chennai
6500000,1002,Ready to move,2,Gowrivakkam,2,Chennai
8500000,1337,Ready to move,3,Gowrivakkam,3,Chennai
4500000,1176,Under Construction,2,Guduvancheri,2,Chennai
4850000,1100,Ready to move,2,Guduvancheri,2,Chennai
4500000,1112,Ready to move,2,Guduvancheri,2,Chennai
4900000,1100,Ready to move,2,Guduvancheri,2,Chennai
3400000,956,Ready to move,1,Guduvancheri,2,Chennai
4900000,1200,Ready to move,2,Guduvancheri,2,Chennai
4900000,1200,Ready to move,2,Guduvancheri,2,Chennai
1600000,480,Ready to move,1,Guduvancheri,1,Chennai
3800000,625,Under Construction,2,Guindy,1,Chennai
3800000,625,Under Construction,2,Guindy,1,Chennai
3800000,625,Under Construction,2,Guindy,1,Chennai
3800000,625,Under Construction,2,Guindy,1,Chennai
3800000,625,Under Construction,2,Guindy,1,Chennai
3800000,625,Under Construction,2,Guindy,1,Chennai
26000000,2000,Under Construction,3,Guindy,3,Chennai
26000000,2000,Under Construction,3,Guindy,3,Chennai
11800000,1740,Ready to move,3,Iyappanthangal,2,Chennai
11100000,1645,Ready to move,3,Iyappanthangal,2,Chennai
12100000,1790,Ready to move,3,Iyappanthangal,2,Chennai
11900000,1760,Ready to move,3,Iyappanthangal,2,Chennai
11500000,1700,Ready to move,3,Iyappanthangal,3,Chennai
11700000,1730,Ready to move,3,Iyappanthangal,2,Chennai
13000000,1800,Ready to move,3,Iyappanthangal,2,Chennai
13900000,1938,Ready to move,3,Iyappanthangal,2,Chennai
14300000,1990,Ready to move,3,Iyappanthangal,2,Chennai
13100000,1825,Ready to move,3,Iyappanthangal,2,Chennai
4606000,940,Ready to move,2,Iyyappanthangal,2,Chennai
5022000,1025,Ready to move,2,Iyyappanthangal,2,Chennai
4361000,890,Ready to move,2,Iyyappanthangal,2,Chennai
3993000,815,Ready to move,2,Iyyappanthangal,2,Chennai
5047000,1030,Ready to move,2,Iyyappanthangal,2,Chennai
5047000,1030,Ready to move,2,Iyyappanthangal,2,Chennai
4223000,862,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
12500000,2350,Ready to move,4,Iyyappanthangal,4,Chennai
12500000,2350,Ready to move,4,Iyyappanthangal,4,Chennai
12500000,2350,Ready to move,4,Iyyappanthangal,4,Chennai
12500000,2350,Ready to move,4,Iyyappanthangal,4,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
5300000,942,Ready to move,2,Iyyappanthangal,2,Chennai
3377000,538,Ready to move,1,Karapakkam,1,Chennai
6670000,1027,Ready to move,2,Karapakkam,1,Chennai
6650000,1024,Ready to move,2,Karapakkam,1,Chennai
17400000,2686,Ready to move,4,Karapakkam,3,Chennai
17100000,2640,Ready to move,4,Karapakkam,3,Chennai
3446000,549,Ready to move,1,Karapakkam,1,Chennai
6800000,1024,Ready to move,2,Karapakkam,2,Chennai
17000000,2616,Ready to move,4,Karapakkam,3,Chennai
6800000,1024,Ready to move,2,Karapakkam,2,Chennai
9500000,1564,Ready to move,2,Karapakkam,3,Chennai
7000000,1024,Ready to move,2,Karapakkam,2,Chennai
3305000,1002,Ready to move,2,Kelambakkam,1,Chennai
4100000,1243,Ready to move,2,Kelambakkam,1,Chennai
4094000,1241,Ready to move,2,Kelambakkam,1,Chennai
3299000,1000,Ready to move,2,Kelambakkam,1,Chennai
2296000,696,Ready to move,1,Kelambakkam,1,Chennai
3698000,1121,Ready to move,2,Kelambakkam,1,Chennai
2088000,633,Ready to move,1,Kelambakkam,1,Chennai
3675000,1114,Ready to move,2,Kelambakkam,1,Chennai
3609000,1094,Ready to move,2,Kelambakkam,1,Chennai
3289000,997,Ready to move,2,Kelambakkam,1,Chennai
3252000,986,Ready to move,2,Kelambakkam,1,Chennai
3021000,916,Ready to move,2,Kelambakkam,1,Chennai
2675000,811,Ready to move,1,Kelambakkam,1,Chennai
3226000,978,Ready to move,2,Kelambakkam,1,Chennai
3216000,975,Ready to move,2,Kelambakkam,1,Chennai
2579000,782,Ready to move,1,Kelambakkam,1,Chennai
3239000,982,Ready to move,2,Kelambakkam,1,Chennai
3233000,980,Ready to move,2,Kelambakkam,1,Chennai
2569000,779,Ready to move,1,Kelambakkam,1,Chennai
3440000,1043,Ready to move,2,Kelambakkam,1,Chennai
3473000,1053,Ready to move,2,Kelambakkam,1,Chennai
3203000,971,Ready to move,2,Kelambakkam,1,Chennai
3183000,965,Ready to move,2,Kelambakkam,1,Chennai
2665000,808,Ready to move,1,Kelambakkam,1,Chennai
3137000,951,Ready to move,2,Kelambakkam,1,Chennai
2919000,885,Ready to move,2,Kelambakkam,1,Chennai
2484000,753,Ready to move,1,Kelambakkam,1,Chennai
3331000,1010,Ready to move,2,Kelambakkam,1,Chennai
3114000,944,Ready to move,2,Kelambakkam,1,Chennai
2675000,811,Ready to move,2,Kelambakkam,1,Chennai
3328000,1009,Ready to move,2,Kelambakkam,1,Chennai
3107000,942,Ready to move,2,Kelambakkam,1,Chennai
3708000,1124,Ready to move,2,Kelambakkam,1,Chennai
3127000,948,Ready to move,2,Kelambakkam,1,Chennai
3341000,1013,Ready to move,2,Kelambakkam,1,Chennai
3500000,840,Ready to move,2,Kelambakkam,2,Chennai
7300000,1737,Ready to move,3,Kelambakkam,3,Chennai
4100000,1250,Ready to move,1,Kelambakkam,2,Chennai
4800000,1270,Ready to move,2,Kelambakkam,1,Chennai
5800000,1400,Ready to move,3,Kelambakkam,3,Chennai
5300000,1550,Ready to move,2,Kelambakkam,2,Chennai
5200000,1350,Ready to move,2,Kelambakkam,2,Chennai
4600000,1262,Under Construction,3,Kelambakkam,2,Chennai
3500000,994,Under Construction,2,Kelambakkam,2,Chennai
3621000,1050,Under Construction,2,Kelambakkam,1,Chennai
3428000,994,Under Construction,2,Kelambakkam,1,Chennai
4352000,1262,Under Construction,3,Kelambakkam,3,Chennai
4604000,1335,Under Construction,3,Kelambakkam,2,Chennai
7500000,1791,Ready to move,3,Kelambakkam,3,Chennai
9046000,1508,Ready to move,3,Kolapakkam,2,Chennai
10400000,1745,Ready to move,3,Kolapakkam,2,Chennai
